Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Eficiencia Training,Iguales Exactas Test,Parecidas Test,Eficiencia Test
0.0030,0.000100,3200,368,76,76,"47,50%",11,11,"27,50%"
0.0030,0.001000,3200,65,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3200,2,63,63,"39,38%",16,16,"40,00%"
0.0030,0.100000,3200,2,65,65,"40,63%",16,16,"40,00%"
0.0030,0.000100,3300,387,70,70,"43,75%",17,17,"42,50%"
0.0030,0.001000,3300,54,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3300,2,66,66,"41,25%",23,23,"57,50%"
0.0030,0.100000,3300,2,56,56,"35,00%",17,17,"42,50%"
0.0030,0.000100,3400,377,64,64,"40,00%",15,15,"37,50%"
0.0030,0.001000,3400,53,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3400,2,68,68,"42,50%",12,12,"30,00%"
0.0030,0.100000,3400,2,73,73,"45,63%",17,17,"42,50%"
0.0030,0.000100,3500,365,69,69,"43,13%",14,14,"35,00%"
0.0030,0.001000,3500,61,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3500,2,65,65,"40,63%",17,17,"42,50%"
0.0030,0.100000,3500,2,33,33,"20,63%",13,13,"32,50%"
0.0030,0.000100,3600,394,62,62,"38,75%",18,18,"45,00%"
0.0030,0.001000,3600,42,1,1,"0,63%",0,0,"0,00%"
0.0030,0.010000,3600,2,75,75,"46,88%",14,14,"35,00%"
0.0030,0.100000,3600,2,61,61,"38,13%",16,16,"40,00%"
0.0030,0.000100,3700,373,69,69,"43,13%",13,13,"32,50%"
0.0030,0.001000,3700,56,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3700,13,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3700,2,0,0,"0,00%",0,0,"0,00%"
0.0030,0.000100,3800,359,65,65,"40,63%",16,16,"40,00%"
0.0030,0.001000,3800,36,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3800,12,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3800,2,63,63,"39,38%",12,12,"30,00%"
0.0030,0.000100,3900,398,63,63,"39,38%",12,12,"30,00%"
0.0030,0.001000,3900,56,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3900,13,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3900,2,21,21,"13,13%",6,6,"15,00%"
0.0030,0.000100,4000,379,65,65,"40,63%",14,14,"35,00%"
0.0030,0.001000,4000,77,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,4000,11,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,4000,2,60,60,"37,50%",13,13,"32,50%"
0.0500,0.000100,500,161,116,116,"72,50%",33,33,"82,50%"
0.0500,0.001000,500,34,87,87,"54,38%",16,16,"40,00%"
0.0500,0.010000,500,8,16,16,"10,00%",1,1,"2,50%"
0.0500,0.100000,500,3,1,1,"0,63%",0,0,"0,00%"
0.0500,0.000100,1000,151,116,116,"72,50%",32,32,"80,00%"
0.0500,0.001000,1000,33,78,78,"48,75%",21,21,"52,50%"
0.0500,0.010000,1000,7,14,14,"8,75%",2,2,"5,00%"
0.0500,0.100000,1000,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1100,149,119,119,"74,38%",25,25,"62,50%"
0.0500,0.001000,1100,33,87,87,"54,38%",19,19,"47,50%"
0.0500,0.010000,1100,8,9,9,"5,63%",0,0,"0,00%"
0.0500,0.100000,1100,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1200,144,120,120,"75,00%",26,26,"65,00%"
0.0500,0.001000,1200,33,81,81,"50,63%",22,22,"55,00%"
0.0500,0.010000,1200,8,11,11,"6,88%",3,3,"7,50%"
0.0500,0.100000,1200,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1300,148,117,117,"73,13%",30,30,"75,00%"
0.0500,0.001000,1300,34,85,85,"53,13%",19,19,"47,50%"
0.0500,0.010000,1300,7,7,7,"4,38%",1,1,"2,50%"
0.0500,0.100000,1300,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1400,144,118,118,"73,75%",25,25,"62,50%"
0.0500,0.001000,1400,34,76,76,"47,50%",21,21,"52,50%"
0.0500,0.010000,1400,7,15,15,"9,38%",0,0,"0,00%"
0.0500,0.100000,1400,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1500,146,116,116,"72,50%",28,28,"70,00%"
0.0500,0.001000,1500,32,86,86,"53,75%",15,15,"37,50%"
0.0500,0.010000,1500,7,10,10,"6,25%",1,1,"2,50%"
0.0500,0.100000,1500,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1600,152,118,118,"73,75%",31,31,"77,50%"
0.0500,0.001000,1600,34,81,81,"50,63%",25,25,"62,50%"
0.0500,0.010000,1600,8,10,10,"6,25%",1,1,"2,50%"
0.0500,0.100000,1600,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1700,147,119,119,"74,38%",29,29,"72,50%"
0.0500,0.001000,1700,32,84,84,"52,50%",19,19,"47,50%"
0.0500,0.010000,1700,7,9,9,"5,63%",3,3,"7,50%"
0.0500,0.100000,1700,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1800,148,120,120,"75,00%",28,28,"70,00%"
0.0500,0.001000,1800,33,83,83,"51,88%",21,21,"52,50%"
0.0500,0.010000,1800,8,13,13,"8,13%",4,4,"10,00%"
0.0500,0.100000,1800,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,1900,153,116,116,"72,50%",30,30,"75,00%"
0.0500,0.001000,1900,32,85,85,"53,13%",17,17,"42,50%"
0.0500,0.010000,1900,8,14,14,"8,75%",2,2,"5,00%"
0.0500,0.100000,1900,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2000,154,116,116,"72,50%",31,31,"77,50%"
0.0500,0.001000,2000,33,84,84,"52,50%",21,21,"52,50%"
0.0500,0.010000,2000,7,18,18,"11,25%",2,2,"5,00%"
0.0500,0.100000,2000,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2100,154,117,117,"73,13%",32,32,"80,00%"
0.0500,0.001000,2100,35,86,86,"53,75%",20,20,"50,00%"
0.0500,0.010000,2100,7,5,5,"3,13%",0,0,"0,00%"
0.0500,0.100000,2100,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2200,152,118,118,"73,75%",31,31,"77,50%"
0.0500,0.001000,2200,35,78,78,"48,75%",26,26,"65,00%"
0.0500,0.010000,2200,7,11,11,"6,88%",1,1,"2,50%"
0.0500,0.100000,2200,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2300,148,118,118,"73,75%",27,27,"67,50%"
0.0500,0.001000,2300,34,80,80,"50,00%",24,24,"60,00%"
0.0500,0.010000,2300,7,11,11,"6,88%",3,3,"7,50%"
0.0500,0.100000,2300,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2400,161,117,117,"73,13%",33,33,"82,50%"
0.0500,0.001000,2400,35,85,85,"53,13%",23,23,"57,50%"
0.0500,0.010000,2400,7,14,14,"8,75%",6,6,"15,00%"
0.0500,0.100000,2400,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2500,152,120,120,"75,00%",26,26,"65,00%"
0.0500,0.001000,2500,33,78,78,"48,75%",23,23,"57,50%"
0.0500,0.010000,2500,7,7,7,"4,38%",2,2,"5,00%"
0.0500,0.100000,2500,3,0,0,"0,00%",1,1,"2,50%"
0.0500,0.000100,2600,147,119,119,"74,38%",28,28,"70,00%"
0.0500,0.001000,2600,34,84,84,"52,50%",18,18,"45,00%"
0.0500,0.010000,2600,7,11,11,"6,88%",6,6,"15,00%"
0.0500,0.100000,2600,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2700,156,116,116,"72,50%",31,31,"77,50%"
0.0500,0.001000,2700,33,88,88,"55,00%",15,15,"37,50%"
0.0500,0.010000,2700,8,12,12,"7,50%",2,2,"5,00%"
0.0500,0.100000,2700,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2800,153,118,118,"73,75%",28,28,"70,00%"
0.0500,0.001000,2800,34,86,86,"53,75%",20,20,"50,00%"
0.0500,0.010000,2800,8,8,8,"5,00%",4,4,"10,00%"
0.0500,0.100000,2800,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,2900,153,118,118,"73,75%",28,28,"70,00%"
0.0500,0.001000,2900,33,85,85,"53,13%",17,17,"42,50%"
0.0500,0.010000,2900,8,14,14,"8,75%",5,5,"12,50%"
0.0500,0.100000,2900,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3000,141,121,121,"75,63%",23,23,"57,50%"
0.0500,0.001000,3000,34,85,85,"53,13%",20,20,"50,00%"
0.0500,0.010000,3000,8,17,17,"10,63%",2,2,"5,00%"
0.0500,0.100000,3000,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3100,148,120,120,"75,00%",28,28,"70,00%"
0.0500,0.001000,3100,32,91,91,"56,88%",15,15,"37,50%"
0.0500,0.010000,3100,7,12,12,"7,50%",2,2,"5,00%"
0.0500,0.100000,3100,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3200,135,125,125,"78,13%",21,21,"52,50%"
0.0500,0.001000,3200,36,79,79,"49,38%",27,27,"67,50%"
0.0500,0.010000,3200,9,14,14,"8,75%",2,2,"5,00%"
0.0500,0.100000,3200,3,1,1,"0,63%",0,0,"0,00%"
0.0500,0.000100,3300,154,115,115,"71,88%",31,31,"77,50%"
0.0500,0.001000,3300,34,82,82,"51,25%",22,22,"55,00%"
0.0500,0.010000,3300,7,11,11,"6,88%",8,8,"20,00%"
0.0500,0.100000,3300,3,1,1,"0,63%",0,0,"0,00%"
0.0500,0.000100,3400,145,118,118,"73,75%",28,28,"70,00%"
0.0500,0.001000,3400,34,86,86,"53,75%",20,20,"50,00%"
0.0500,0.010000,3400,7,15,15,"9,38%",2,2,"5,00%"
0.0500,0.100000,3400,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3500,145,118,118,"73,75%",27,27,"67,50%"
0.0500,0.001000,3500,33,82,82,"51,25%",20,20,"50,00%"
0.0500,0.010000,3500,7,19,19,"11,88%",4,4,"10,00%"
0.0500,0.100000,3500,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3600,148,115,115,"71,88%",27,27,"67,50%"
0.0500,0.001000,3600,34,83,83,"51,88%",21,21,"52,50%"
0.0500,0.010000,3600,8,7,7,"4,38%",1,1,"2,50%"
0.0500,0.100000,3600,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3700,151,117,117,"73,13%",28,28,"70,00%"
0.0500,0.001000,3700,33,82,82,"51,25%",17,17,"42,50%"
0.0500,0.010000,3700,7,10,10,"6,25%",3,3,"7,50%"
0.0500,0.100000,3700,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3800,158,116,116,"72,50%",30,30,"75,00%"
0.0500,0.001000,3800,32,79,79,"49,38%",20,20,"50,00%"
0.0500,0.010000,3800,7,16,16,"10,00%",3,3,"7,50%"
0.0500,0.100000,3800,2,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,3900,148,121,121,"75,63%",28,28,"70,00%"
0.0500,0.001000,3900,34,81,81,"50,63%",26,26,"65,00%"
0.0500,0.010000,3900,9,18,18,"11,25%",3,3,"7,50%"
0.0500,0.100000,3900,3,0,0,"0,00%",0,0,"0,00%"
0.0500,0.000100,4000,149,116,116,"72,50%",29,29,"72,50%"
0.0500,0.001000,4000,34,86,86,"53,75%",16,16,"40,00%"
0.0500,0.010000,4000,9,20,20,"12,50%",3,3,"7,50%"
0.0500,0.100000,4000,3,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,500,117,128,128,"80,00%",29,29,"72,50%"
0.1000,0.001000,500,28,93,93,"58,13%",26,26,"65,00%"
0.1000,0.010000,500,7,48,48,"30,00%",7,7,"17,50%"
0.1000,0.100000,500,2,4,4,"2,50%",0,0,"0,00%"
0.1000,0.000100,1000,130,127,127,"79,38%",31,31,"77,50%"
0.1000,0.001000,1000,26,95,95,"59,38%",23,23,"57,50%"
0.1000,0.010000,1000,7,38,38,"23,75%",12,12,"30,00%"
0.1000,0.100000,1000,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,1100,119,124,124,"77,50%",30,30,"75,00%"
0.1000,0.001000,1100,27,100,100,"62,50%",19,19,"47,50%"
0.1000,0.010000,1100,7,42,42,"26,25%",10,10,"25,00%"
0.1000,0.100000,1100,2,18,18,"11,25%",1,1,"2,50%"
0.1000,0.000100,1200,128,124,124,"77,50%",30,30,"75,00%"
0.1000,0.001000,1200,27,93,93,"58,13%",24,24,"60,00%"
0.1000,0.010000,1200,7,41,41,"25,63%",12,12,"30,00%"
0.1000,0.100000,1200,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,1300,123,126,126,"78,75%",31,31,"77,50%"
0.1000,0.001000,1300,27,94,94,"58,75%",28,28,"70,00%"
0.1000,0.010000,1300,7,36,36,"22,50%",8,8,"20,00%"
0.1000,0.100000,1300,2,5,5,"3,13%",2,2,"5,00%"
0.1000,0.000100,1400,128,124,124,"77,50%",28,28,"70,00%"
0.1000,0.001000,1400,26,97,97,"60,63%",24,24,"60,00%"
0.1000,0.010000,1400,7,30,30,"18,75%",13,13,"32,50%"
0.1000,0.100000,1400,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,1500,115,128,128,"80,00%",28,28,"70,00%"
0.1000,0.001000,1500,26,92,92,"57,50%",27,27,"67,50%"
0.1000,0.010000,1500,8,45,45,"28,13%",8,8,"20,00%"
0.1000,0.100000,1500,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,1600,125,126,126,"78,75%",29,29,"72,50%"
0.1000,0.001000,1600,26,99,99,"61,88%",19,19,"47,50%"
0.1000,0.010000,1600,7,39,39,"24,38%",8,8,"20,00%"
0.1000,0.100000,1600,3,3,3,"1,88%",2,2,"5,00%"
0.1000,0.000100,1700,137,125,125,"78,13%",35,35,"87,50%"
0.1000,0.001000,1700,28,90,90,"56,25%",30,30,"75,00%"
0.1000,0.010000,1700,8,48,48,"30,00%",9,9,"22,50%"
0.1000,0.100000,1700,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,1800,129,122,122,"76,25%",33,33,"82,50%"
0.1000,0.001000,1800,27,98,98,"61,25%",25,25,"62,50%"
0.1000,0.010000,1800,7,42,42,"26,25%",8,8,"20,00%"
0.1000,0.100000,1800,3,26,26,"16,25%",2,2,"5,00%"
0.1000,0.000100,1900,125,127,127,"79,38%",30,30,"75,00%"
0.1000,0.001000,1900,26,99,99,"61,88%",23,23,"57,50%"
0.1000,0.010000,1900,6,36,36,"22,50%",9,9,"22,50%"
0.1000,0.100000,1900,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,2000,122,130,130,"81,25%",30,30,"75,00%"
0.1000,0.001000,2000,26,101,101,"63,13%",20,20,"50,00%"
0.1000,0.010000,2000,7,35,35,"21,88%",9,9,"22,50%"
0.1000,0.100000,2000,2,5,5,"3,13%",1,1,"2,50%"
0.1000,0.000100,2100,136,121,121,"75,63%",37,37,"92,50%"
0.1000,0.001000,2100,27,93,93,"58,13%",28,28,"70,00%"
0.1000,0.010000,2100,7,41,41,"25,63%",9,9,"22,50%"
0.1000,0.100000,2100,3,16,16,"10,00%",2,2,"5,00%"
0.1000,0.000100,2200,126,125,125,"78,13%",29,29,"72,50%"
0.1000,0.001000,2200,27,99,99,"61,88%",24,24,"60,00%"
0.1000,0.010000,2200,7,39,39,"24,38%",9,9,"22,50%"
0.1000,0.100000,2200,2,2,2,"1,25%",0,0,"0,00%"
0.1000,0.000100,2300,126,126,126,"78,75%",30,30,"75,00%"
0.1000,0.001000,2300,26,97,97,"60,63%",24,24,"60,00%"
0.1000,0.010000,2300,7,48,48,"30,00%",7,7,"17,50%"
0.1000,0.100000,2300,3,3,3,"1,88%",1,1,"2,50%"
0.1000,0.000100,2400,126,126,126,"78,75%",30,30,"75,00%"
0.1000,0.001000,2400,27,94,94,"58,75%",24,24,"60,00%"
0.1000,0.010000,2400,7,42,42,"26,25%",4,4,"10,00%"
0.1000,0.100000,2400,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,2500,123,126,126,"78,75%",29,29,"72,50%"
0.1000,0.001000,2500,27,96,96,"60,00%",24,24,"60,00%"
0.1000,0.010000,2500,7,41,41,"25,63%",9,9,"22,50%"
0.1000,0.100000,2500,2,1,1,"0,63%",1,1,"2,50%"
0.1000,0.000100,2600,131,122,122,"76,25%",35,35,"87,50%"
0.1000,0.001000,2600,27,96,96,"60,00%",22,22,"55,00%"
0.1000,0.010000,2600,8,43,43,"26,88%",8,8,"20,00%"
0.1000,0.100000,2600,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,2700,124,128,128,"80,00%",30,30,"75,00%"
0.1000,0.001000,2700,26,102,102,"63,75%",21,21,"52,50%"
0.1000,0.010000,2700,7,46,46,"28,75%",12,12,"30,00%"
0.1000,0.100000,2700,2,4,4,"2,50%",0,0,"0,00%"
0.1000,0.000100,2800,126,124,124,"77,50%",32,32,"80,00%"
0.1000,0.001000,2800,27,98,98,"61,25%",21,21,"52,50%"
0.1000,0.010000,2800,7,43,43,"26,88%",10,10,"25,00%"
0.1000,0.100000,2800,3,4,4,"2,50%",2,2,"5,00%"
0.1000,0.000100,2900,132,125,125,"78,13%",33,33,"82,50%"
0.1000,0.001000,2900,27,100,100,"62,50%",21,21,"52,50%"
0.1000,0.010000,2900,7,37,37,"23,13%",9,9,"22,50%"
0.1000,0.100000,2900,3,7,7,"4,38%",0,0,"0,00%"
0.1000,0.000100,3000,134,122,122,"76,25%",33,33,"82,50%"
0.1000,0.001000,3000,27,93,93,"58,13%",27,27,"67,50%"
0.1000,0.010000,3000,8,36,36,"22,50%",15,15,"37,50%"
0.1000,0.100000,3000,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3100,121,125,125,"78,13%",31,31,"77,50%"
0.1000,0.001000,3100,27,99,99,"61,88%",22,22,"55,00%"
0.1000,0.010000,3100,7,37,37,"23,13%",11,11,"27,50%"
0.1000,0.100000,3100,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3200,126,127,127,"79,38%",32,32,"80,00%"
0.1000,0.001000,3200,27,96,96,"60,00%",25,25,"62,50%"
0.1000,0.010000,3200,7,40,40,"25,00%",9,9,"22,50%"
0.1000,0.100000,3200,3,1,1,"0,63%",0,0,"0,00%"
0.1000,0.000100,3300,128,126,126,"78,75%",32,32,"80,00%"
0.1000,0.001000,3300,27,98,98,"61,25%",24,24,"60,00%"
0.1000,0.010000,3300,7,49,49,"30,63%",8,8,"20,00%"
0.1000,0.100000,3300,3,3,3,"1,88%",0,0,"0,00%"
0.1000,0.000100,3400,123,124,124,"77,50%",31,31,"77,50%"
0.1000,0.001000,3400,26,96,96,"60,00%",21,21,"52,50%"
0.1000,0.010000,3400,7,39,39,"24,38%",14,14,"35,00%"
0.1000,0.100000,3400,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3500,128,124,124,"77,50%",30,30,"75,00%"
0.1000,0.001000,3500,27,98,98,"61,25%",22,22,"55,00%"
0.1000,0.010000,3500,7,46,46,"28,75%",10,10,"25,00%"
0.1000,0.100000,3500,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3600,133,121,121,"75,63%",33,33,"82,50%"
0.1000,0.001000,3600,27,96,96,"60,00%",24,24,"60,00%"
0.1000,0.010000,3600,8,41,41,"25,63%",11,11,"27,50%"
0.1000,0.100000,3600,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3700,129,128,128,"80,00%",32,32,"80,00%"
0.1000,0.001000,3700,26,97,97,"60,63%",23,23,"57,50%"
0.1000,0.010000,3700,8,40,40,"25,00%",10,10,"25,00%"
0.1000,0.100000,3700,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3800,125,121,121,"75,63%",35,35,"87,50%"
0.1000,0.001000,3800,26,101,101,"63,13%",17,17,"42,50%"
0.1000,0.010000,3800,7,46,46,"28,75%",5,5,"12,50%"
0.1000,0.100000,3800,2,0,0,"0,00%",0,0,"0,00%"
0.1000,0.000100,3900,119,128,128,"80,00%",27,27,"67,50%"
0.1000,0.001000,3900,26,95,95,"59,38%",22,22,"55,00%"
0.1000,0.010000,3900,7,35,35,"21,88%",9,9,"22,50%"
0.1000,0.100000,3900,2,0,0,"0,00%",1,1,"2,50%"
0.1000,0.000100,4000,117,125,125,"78,13%",30,30,"75,00%"
0.1000,0.001000,4000,28,94,94,"58,75%",28,28,"70,00%"
0.1000,0.010000,4000,7,42,42,"26,25%",12,12,"30,00%"
0.1000,0.100000,4000,2,0,0,"0,00%",1,1,"2,50%"
0.2000,0.000100,500,102,133,133,"83,13%",29,29,"72,50%"
0.2000,0.001000,500,20,113,113,"70,63%",19,19,"47,50%"
0.2000,0.010000,500,6,67,67,"41,88%",14,14,"35,00%"
0.2000,0.100000,500,2,14,14,"8,75%",4,4,"10,00%"
0.2000,0.000100,1000,109,129,129,"80,63%",35,35,"87,50%"
0.2000,0.001000,1000,21,116,116,"72,50%",23,23,"57,50%"
0.2000,0.010000,1000,6,70,70,"43,75%",15,15,"37,50%"
0.2000,0.100000,1000,2,13,13,"8,13%",1,1,"2,50%"
0.2000,0.000100,1100,111,126,126,"78,75%",36,36,"90,00%"
0.2000,0.001000,1100,21,107,107,"66,88%",27,27,"67,50%"
0.2000,0.010000,1100,6,71,71,"44,38%",17,17,"42,50%"
0.2000,0.100000,1100,2,22,22,"13,75%",5,5,"12,50%"
0.2000,0.000100,1200,102,132,132,"82,50%",30,30,"75,00%"
0.2000,0.001000,1200,22,104,104,"65,00%",26,26,"65,00%"
0.2000,0.010000,1200,6,67,67,"41,88%",14,14,"35,00%"
0.2000,0.100000,1200,2,16,16,"10,00%",3,3,"7,50%"
0.2000,0.000100,1300,101,133,133,"83,13%",29,29,"72,50%"
0.2000,0.001000,1300,22,108,108,"67,50%",26,26,"65,00%"
0.2000,0.010000,1300,6,67,67,"41,88%",17,17,"42,50%"
0.2000,0.100000,1300,3,29,29,"18,13%",6,6,"15,00%"
0.2000,0.000100,1400,100,133,133,"83,13%",29,29,"72,50%"
0.2000,0.001000,1400,22,107,107,"66,88%",26,26,"65,00%"
0.2000,0.010000,1400,6,63,63,"39,38%",17,17,"42,50%"
0.2000,0.100000,1400,3,30,30,"18,75%",5,5,"12,50%"
0.2000,0.000100,1500,105,134,134,"83,75%",30,30,"75,00%"
0.2000,0.001000,1500,22,112,112,"70,00%",26,26,"65,00%"
0.2000,0.010000,1500,6,73,73,"45,63%",17,17,"42,50%"
0.2000,0.100000,1500,2,19,19,"11,88%",8,8,"20,00%"
0.2000,0.000100,1600,112,129,129,"80,63%",36,36,"90,00%"
0.2000,0.001000,1600,22,101,101,"63,13%",31,31,"77,50%"
0.2000,0.010000,1600,6,68,68,"42,50%",15,15,"37,50%"
0.2000,0.100000,1600,3,45,45,"28,13%",9,9,"22,50%"
0.2000,0.000100,1700,114,129,129,"80,63%",37,37,"92,50%"
0.2000,0.001000,1700,21,107,107,"66,88%",24,24,"60,00%"
0.2000,0.010000,1700,6,73,73,"45,63%",15,15,"37,50%"
0.2000,0.100000,1700,2,10,10,"6,25%",2,2,"5,00%"
0.2000,0.000100,1800,103,134,134,"83,75%",29,29,"72,50%"
0.2000,0.001000,1800,21,107,107,"66,88%",28,28,"70,00%"
0.2000,0.010000,1800,6,70,70,"43,75%",18,18,"45,00%"
0.2000,0.100000,1800,2,19,19,"11,88%",7,7,"17,50%"
0.2000,0.000100,1900,97,134,134,"83,75%",30,30,"75,00%"
0.2000,0.001000,1900,22,106,106,"66,25%",28,28,"70,00%"
0.2000,0.010000,1900,6,66,66,"41,25%",16,16,"40,00%"
0.2000,0.100000,1900,2,25,25,"15,63%",11,11,"27,50%"
0.2000,0.000100,2000,108,131,131,"81,88%",32,32,"80,00%"
0.2000,0.001000,2000,22,104,104,"65,00%",30,30,"75,00%"
0.2000,0.010000,2000,6,66,66,"41,25%",18,18,"45,00%"
0.2000,0.100000,2000,3,29,29,"18,13%",7,7,"17,50%"
0.2000,0.000100,2100,104,133,133,"83,13%",31,31,"77,50%"
0.2000,0.001000,2100,21,108,108,"67,50%",26,26,"65,00%"
0.2000,0.010000,2100,6,70,70,"43,75%",15,15,"37,50%"
0.2000,0.100000,2100,3,35,35,"21,88%",8,8,"20,00%"
