Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Eficiencia Training,Iguales Exactas Test,Parecidas Test,Eficiencia Test
0.2000,0.000100,2200,108,129,129,"80,63%",35,35,"87,50%"
0.2000,0.001000,2200,22,109,109,"68,13%",28,28,"70,00%"
0.2000,0.010000,2200,6,69,69,"43,13%",16,16,"40,00%"
0.2000,0.100000,2200,2,11,11,"6,88%",2,2,"5,00%"
0.2000,0.000100,2300,104,132,132,"82,50%",31,31,"77,50%"
0.2000,0.001000,2300,22,104,104,"65,00%",31,31,"77,50%"
0.2000,0.010000,2300,6,73,73,"45,63%",16,16,"40,00%"
0.2000,0.100000,2300,2,8,8,"5,00%",3,3,"7,50%"
0.2000,0.000100,2400,110,132,132,"82,50%",31,31,"77,50%"
0.2000,0.001000,2400,21,109,109,"68,13%",25,25,"62,50%"
0.2000,0.010000,2400,6,69,69,"43,13%",14,14,"35,00%"
0.2000,0.100000,2400,3,32,32,"20,00%",6,6,"15,00%"
0.2000,0.000100,2500,103,130,130,"81,25%",31,31,"77,50%"
0.2000,0.001000,2500,22,106,106,"66,25%",28,28,"70,00%"
0.2000,0.010000,2500,6,72,72,"45,00%",14,14,"35,00%"
0.2000,0.100000,2500,3,42,42,"26,25%",8,8,"20,00%"
0.2000,0.000100,2600,101,134,134,"83,75%",31,31,"77,50%"
0.2000,0.001000,2600,21,107,107,"66,88%",28,28,"70,00%"
0.2000,0.010000,2600,6,70,70,"43,75%",17,17,"42,50%"
0.2000,0.100000,2600,3,40,40,"25,00%",4,4,"10,00%"
0.2000,0.000100,2700,118,129,129,"80,63%",36,36,"90,00%"
0.2000,0.001000,2700,22,110,110,"68,75%",28,28,"70,00%"
0.2000,0.010000,2700,6,69,69,"43,13%",17,17,"42,50%"
0.2000,0.100000,2700,2,17,17,"10,63%",4,4,"10,00%"
0.2000,0.000100,2800,108,129,129,"80,63%",32,32,"80,00%"
0.2000,0.001000,2800,23,99,99,"61,88%",33,33,"82,50%"
0.2000,0.010000,2800,6,65,65,"40,63%",19,19,"47,50%"
0.2000,0.100000,2800,2,15,15,"9,38%",8,8,"20,00%"
0.2000,0.000100,2900,108,131,131,"81,88%",34,34,"85,00%"
0.2000,0.001000,2900,22,107,107,"66,88%",28,28,"70,00%"
0.2000,0.010000,2900,6,69,69,"43,13%",19,19,"47,50%"
0.2000,0.100000,2900,3,33,33,"20,63%",10,10,"25,00%"
0.2000,0.000100,3000,108,133,133,"83,13%",32,32,"80,00%"
0.2000,0.001000,3000,21,105,105,"65,63%",25,25,"62,50%"
0.2000,0.010000,3000,6,72,72,"45,00%",18,18,"45,00%"
0.2000,0.100000,3000,2,7,7,"4,38%",1,1,"2,50%"
0.2000,0.000100,3100,105,130,130,"81,25%",33,33,"82,50%"
0.2000,0.001000,3100,20,111,111,"69,38%",20,20,"50,00%"
0.2000,0.010000,3100,6,69,69,"43,13%",23,23,"57,50%"
0.2000,0.100000,3100,2,24,24,"15,00%",4,4,"10,00%"
0.2000,0.000100,3200,108,129,129,"80,63%",34,34,"85,00%"
0.2000,0.001000,3200,22,107,107,"66,88%",29,29,"72,50%"
0.2000,0.010000,3200,6,67,67,"41,88%",16,16,"40,00%"
0.2000,0.100000,3200,2,10,10,"6,25%",4,4,"10,00%"
0.2000,0.000100,3300,102,132,132,"82,50%",32,32,"80,00%"
0.2000,0.001000,3300,22,107,107,"66,88%",26,26,"65,00%"
0.2000,0.010000,3300,6,70,70,"43,75%",18,18,"45,00%"
0.2000,0.100000,3300,3,31,31,"19,38%",4,4,"10,00%"
0.2000,0.000100,3400,107,133,133,"83,13%",31,31,"77,50%"
0.2000,0.001000,3400,22,109,109,"68,13%",30,30,"75,00%"
0.2000,0.010000,3400,6,70,70,"43,75%",18,18,"45,00%"
0.2000,0.100000,3400,3,30,30,"18,75%",8,8,"20,00%"
0.2000,0.000100,3500,111,132,132,"82,50%",34,34,"85,00%"
0.2000,0.001000,3500,21,107,107,"66,88%",28,28,"70,00%"
0.2000,0.010000,3500,6,68,68,"42,50%",22,22,"55,00%"
0.2000,0.100000,3500,2,17,17,"10,63%",5,5,"12,50%"
0.2000,0.000100,3600,93,136,136,"85,00%",28,28,"70,00%"
0.2000,0.001000,3600,21,110,110,"68,75%",25,25,"62,50%"
0.2000,0.010000,3600,6,68,68,"42,50%",20,20,"50,00%"
0.2000,0.100000,3600,3,19,19,"11,88%",10,10,"25,00%"
0.2000,0.000100,3700,102,133,133,"83,13%",30,30,"75,00%"
0.2000,0.001000,3700,22,104,104,"65,00%",29,29,"72,50%"
0.2000,0.010000,3700,6,73,73,"45,63%",14,14,"35,00%"
0.2000,0.100000,3700,2,22,22,"13,75%",5,5,"12,50%"
0.2000,0.000100,3800,104,132,132,"82,50%",31,31,"77,50%"
0.2000,0.001000,3800,21,109,109,"68,13%",21,21,"52,50%"
0.2000,0.010000,3800,6,73,73,"45,63%",16,16,"40,00%"
0.2000,0.100000,3800,2,25,25,"15,63%",7,7,"17,50%"
0.2000,0.000100,3900,101,130,130,"81,25%",31,31,"77,50%"
0.2000,0.001000,3900,21,103,103,"64,38%",28,28,"70,00%"
0.2000,0.010000,3900,6,69,69,"43,13%",21,21,"52,50%"
0.2000,0.100000,3900,2,18,18,"11,25%",3,3,"7,50%"
0.2000,0.000100,4000,113,131,131,"81,88%",33,33,"82,50%"
0.2000,0.001000,4000,23,103,103,"64,38%",30,30,"75,00%"
0.2000,0.010000,4000,6,74,74,"46,25%",16,16,"40,00%"
0.2000,0.100000,4000,3,26,26,"16,25%",6,6,"15,00%"
0.3000,0.000100,500,94,133,133,"83,13%",34,34,"85,00%"
0.3000,0.001000,500,21,111,111,"69,38%",36,36,"90,00%"
0.3000,0.010000,500,6,86,86,"53,75%",21,21,"52,50%"
0.3000,0.100000,500,2,38,38,"23,75%",10,10,"25,00%"
0.3000,0.000100,1000,96,135,135,"84,38%",34,34,"85,00%"
0.3000,0.001000,1000,19,117,117,"73,13%",26,26,"65,00%"
0.3000,0.010000,1000,5,84,84,"52,50%",17,17,"42,50%"
0.3000,0.100000,1000,2,25,25,"15,63%",7,7,"17,50%"
0.3000,0.000100,1100,98,133,133,"83,13%",34,34,"85,00%"
0.3000,0.001000,1100,19,112,112,"70,00%",26,26,"65,00%"
0.3000,0.010000,1100,6,83,83,"51,88%",24,24,"60,00%"
0.3000,0.100000,1100,2,30,30,"18,75%",11,11,"27,50%"
0.3000,0.000100,1200,99,130,130,"81,25%",35,35,"87,50%"
0.3000,0.001000,1200,20,114,114,"71,25%",32,32,"80,00%"
0.3000,0.010000,1200,6,88,88,"55,00%",20,20,"50,00%"
0.3000,0.100000,1200,3,56,56,"35,00%",15,15,"37,50%"
0.3000,0.000100,1300,91,135,135,"84,38%",31,31,"77,50%"
0.3000,0.001000,1300,19,116,116,"72,50%",28,28,"70,00%"
0.3000,0.010000,1300,6,86,86,"53,75%",25,25,"62,50%"
0.3000,0.100000,1300,2,46,46,"28,75%",11,11,"27,50%"
0.3000,0.000100,1400,98,133,133,"83,13%",36,36,"90,00%"
0.3000,0.001000,1400,19,110,110,"68,75%",31,31,"77,50%"
0.3000,0.010000,1400,6,85,85,"53,13%",21,21,"52,50%"
0.3000,0.100000,1400,2,38,38,"23,75%",5,5,"12,50%"
0.3000,0.000100,1500,104,131,131,"81,88%",37,37,"92,50%"
0.3000,0.001000,1500,19,115,115,"71,88%",22,22,"55,00%"
0.3000,0.010000,1500,5,79,79,"49,38%",23,23,"57,50%"
0.3000,0.100000,1500,2,44,44,"27,50%",13,13,"32,50%"
0.3000,0.000100,1600,106,133,133,"83,13%",37,37,"92,50%"
0.3000,0.001000,1600,19,115,115,"71,88%",27,27,"67,50%"
0.3000,0.010000,1600,5,83,83,"51,88%",17,17,"42,50%"
0.3000,0.100000,1600,2,29,29,"18,13%",6,6,"15,00%"
0.3000,0.000100,1700,101,134,134,"83,75%",35,35,"87,50%"
0.3000,0.001000,1700,19,117,117,"73,13%",26,26,"65,00%"
0.3000,0.010000,1700,6,84,84,"52,50%",23,23,"57,50%"
0.3000,0.100000,1700,2,45,45,"28,13%",10,10,"25,00%"
0.3000,0.000100,1800,95,134,134,"83,75%",34,34,"85,00%"
0.3000,0.001000,1800,19,115,115,"71,88%",25,25,"62,50%"
0.3000,0.010000,1800,5,80,80,"50,00%",20,20,"50,00%"
0.3000,0.100000,1800,2,28,28,"17,50%",9,9,"22,50%"
0.3000,0.000100,1900,96,133,133,"83,13%",33,33,"82,50%"
0.3000,0.001000,1900,19,113,113,"70,63%",26,26,"65,00%"
0.3000,0.010000,1900,6,88,88,"55,00%",16,16,"40,00%"
0.3000,0.100000,1900,2,44,44,"27,50%",10,10,"25,00%"
0.3000,0.000100,2000,86,136,136,"85,00%",30,30,"75,00%"
0.3000,0.001000,2000,20,111,111,"69,38%",34,34,"85,00%"
0.3000,0.010000,2000,6,82,82,"51,25%",26,26,"65,00%"
0.3000,0.100000,2000,2,33,33,"20,63%",8,8,"20,00%"
0.3000,0.000100,2100,97,135,135,"84,38%",34,34,"85,00%"
0.3000,0.001000,2100,19,114,114,"71,25%",29,29,"72,50%"
0.3000,0.010000,2100,6,94,94,"58,75%",14,14,"35,00%"
0.3000,0.100000,2100,2,49,49,"30,63%",11,11,"27,50%"
0.3000,0.000100,2200,97,134,134,"83,75%",32,32,"80,00%"
0.3000,0.001000,2200,20,110,110,"68,75%",31,31,"77,50%"
0.3000,0.010000,2200,5,79,79,"49,38%",19,19,"47,50%"
0.3000,0.100000,2200,3,59,59,"36,88%",7,7,"17,50%"
0.3000,0.000100,2300,96,134,134,"83,75%",32,32,"80,00%"
0.3000,0.001000,2300,18,114,114,"71,25%",31,31,"77,50%"
0.3000,0.010000,2300,6,86,86,"53,75%",21,21,"52,50%"
0.3000,0.100000,2300,3,60,60,"37,50%",10,10,"25,00%"
0.3000,0.000100,2400,94,137,137,"85,63%",28,28,"70,00%"
0.3000,0.001000,2400,19,111,111,"69,38%",30,30,"75,00%"
0.3000,0.010000,2400,5,83,83,"51,88%",19,19,"47,50%"
0.3000,0.100000,2400,2,32,32,"20,00%",8,8,"20,00%"
0.3000,0.000100,2500,100,132,132,"82,50%",34,34,"85,00%"
0.3000,0.001000,2500,19,119,119,"74,38%",26,26,"65,00%"
0.3000,0.010000,2500,6,86,86,"53,75%",25,25,"62,50%"
0.3000,0.100000,2500,2,47,47,"29,38%",12,12,"30,00%"
0.3000,0.000100,2600,99,133,133,"83,13%",36,36,"90,00%"
0.3000,0.001000,2600,18,115,115,"71,88%",25,25,"62,50%"
0.3000,0.010000,2600,6,88,88,"55,00%",17,17,"42,50%"
0.3000,0.100000,2600,3,64,64,"40,00%",15,15,"37,50%"
0.3000,0.000100,2700,96,135,135,"84,38%",31,31,"77,50%"
0.3000,0.001000,2700,19,112,112,"70,00%",28,28,"70,00%"
0.3000,0.010000,2700,5,79,79,"49,38%",18,18,"45,00%"
0.3000,0.100000,2700,2,70,70,"43,75%",16,16,"40,00%"
0.3000,0.000100,2800,93,135,135,"84,38%",32,32,"80,00%"
0.3000,0.001000,2800,20,114,114,"71,25%",27,27,"67,50%"
0.3000,0.010000,2800,5,78,78,"48,75%",18,18,"45,00%"
0.3000,0.100000,2800,2,42,42,"26,25%",8,8,"20,00%"
0.3000,0.000100,2900,86,137,137,"85,63%",29,29,"72,50%"
0.3000,0.001000,2900,20,114,114,"71,25%",28,28,"70,00%"
0.3000,0.010000,2900,5,81,81,"50,63%",20,20,"50,00%"
0.3000,0.100000,2900,2,54,54,"33,75%",15,15,"37,50%"
0.3000,0.000100,3000,91,134,134,"83,75%",32,32,"80,00%"
0.3000,0.001000,3000,19,107,107,"66,88%",29,29,"72,50%"
0.3000,0.010000,3000,5,77,77,"48,13%",16,16,"40,00%"
0.3000,0.100000,3000,2,49,49,"30,63%",9,9,"22,50%"
0.3000,0.000100,3100,91,136,136,"85,00%",30,30,"75,00%"
0.3000,0.001000,3100,19,113,113,"70,63%",25,25,"62,50%"
0.3000,0.010000,3100,5,78,78,"48,75%",19,19,"47,50%"
0.3000,0.100000,3100,2,38,38,"23,75%",5,5,"12,50%"
0.3000,0.000100,3200,102,135,135,"84,38%",33,33,"82,50%"
0.3000,0.001000,3200,21,113,113,"70,63%",31,31,"77,50%"
0.3000,0.010000,3200,5,76,76,"47,50%",16,16,"40,00%"
0.3000,0.100000,3200,3,45,45,"28,13%",19,19,"47,50%"
0.3000,0.000100,3300,95,133,133,"83,13%",34,34,"85,00%"
0.3000,0.001000,3300,20,114,114,"71,25%",28,28,"70,00%"
0.3000,0.010000,3300,6,86,86,"53,75%",23,23,"57,50%"
0.3000,0.100000,3300,3,52,52,"32,50%",11,11,"27,50%"
0.3000,0.000100,3400,98,137,137,"85,63%",30,30,"75,00%"
0.3000,0.001000,3400,19,114,114,"71,25%",27,27,"67,50%"
0.3000,0.010000,3400,5,82,82,"51,25%",20,20,"50,00%"
0.3000,0.100000,3400,2,28,28,"17,50%",9,9,"22,50%"
0.3000,0.000100,3500,91,137,137,"85,63%",29,29,"72,50%"
0.3000,0.001000,3500,20,115,115,"71,88%",29,29,"72,50%"
0.3000,0.010000,3500,5,90,90,"56,25%",13,13,"32,50%"
0.3000,0.100000,3500,2,47,47,"29,38%",10,10,"25,00%"
0.3000,0.000100,3600,102,134,134,"83,75%",33,33,"82,50%"
0.3000,0.001000,3600,19,112,112,"70,00%",32,32,"80,00%"
0.3000,0.010000,3600,5,83,83,"51,88%",16,16,"40,00%"
0.3000,0.100000,3600,2,23,23,"14,38%",6,6,"15,00%"
0.3000,0.000100,3700,88,137,137,"85,63%",28,28,"70,00%"
0.3000,0.001000,3700,19,115,115,"71,88%",28,28,"70,00%"
0.3000,0.010000,3700,6,87,87,"54,38%",21,21,"52,50%"
0.3000,0.100000,3700,3,55,55,"34,38%",13,13,"32,50%"
0.3000,0.000100,3800,93,135,135,"84,38%",31,31,"77,50%"
0.3000,0.001000,3800,20,117,117,"73,13%",24,24,"60,00%"
0.3000,0.010000,3800,6,83,83,"51,88%",27,27,"67,50%"
0.3000,0.100000,3800,2,25,25,"15,63%",7,7,"17,50%"
0.3000,0.000100,3900,92,135,135,"84,38%",32,32,"80,00%"
0.3000,0.001000,3900,19,112,112,"70,00%",28,28,"70,00%"
0.3000,0.010000,3900,5,81,81,"50,63%",17,17,"42,50%"
0.3000,0.100000,3900,3,65,65,"40,63%",9,9,"22,50%"
0.3000,0.000100,4000,96,136,136,"85,00%",33,33,"82,50%"
0.3000,0.001000,4000,20,108,108,"67,50%",32,32,"80,00%"
0.3000,0.010000,4000,6,88,88,"55,00%",17,17,"42,50%"
0.3000,0.100000,4000,2,38,38,"23,75%",15,15,"37,50%"
0.4000,0.000100,500,97,134,134,"83,75%",38,38,"95,00%"
0.4000,0.001000,500,19,118,118,"73,75%",29,29,"72,50%"
0.4000,0.010000,500,5,89,89,"55,63%",18,18,"45,00%"
0.4000,0.100000,500,2,58,58,"36,25%",22,22,"55,00%"
0.4000,0.000100,1000,98,134,134,"83,75%",37,37,"92,50%"
0.4000,0.001000,1000,17,119,119,"74,38%",25,25,"62,50%"
0.4000,0.010000,1000,5,93,93,"58,13%",20,20,"50,00%"
0.4000,0.100000,1000,2,53,53,"33,13%",6,6,"15,00%"
0.4000,0.000100,1100,102,137,137,"85,63%",36,36,"90,00%"
0.4000,0.001000,1100,19,114,114,"71,25%",32,32,"80,00%"
0.4000,0.010000,1100,5,83,83,"51,88%",31,31,"77,50%"
0.4000,0.100000,1100,3,69,69,"43,13%",13,13,"32,50%"
0.4000,0.000100,1200,92,135,135,"84,38%",34,34,"85,00%"
0.4000,0.001000,1200,18,117,117,"73,13%",30,30,"75,00%"
0.4000,0.010000,1200,5,93,93,"58,13%",21,21,"52,50%"
0.4000,0.100000,1200,2,65,65,"40,63%",14,14,"35,00%"
0.4000,0.000100,1300,88,135,135,"84,38%",34,34,"85,00%"
0.4000,0.001000,1300,18,115,115,"71,88%",31,31,"77,50%"
0.4000,0.010000,1300,5,97,97,"60,63%",14,14,"35,00%"
0.4000,0.100000,1300,2,63,63,"39,38%",11,11,"27,50%"
0.4000,0.000100,1400,98,134,134,"83,75%",37,37,"92,50%"
0.4000,0.001000,1400,18,120,120,"75,00%",29,29,"72,50%"
0.4000,0.010000,1400,5,81,81,"50,63%",22,22,"55,00%"
0.4000,0.100000,1400,2,45,45,"28,13%",13,13,"32,50%"
0.4000,0.000100,1500,96,135,135,"84,38%",35,35,"87,50%"
0.4000,0.001000,1500,18,120,120,"75,00%",29,29,"72,50%"
0.4000,0.010000,1500,5,86,86,"53,75%",27,27,"67,50%"
0.4000,0.100000,1500,2,60,60,"37,50%",14,14,"35,00%"
0.4000,0.000100,1600,97,134,134,"83,75%",37,37,"92,50%"
0.4000,0.001000,1600,18,117,117,"73,13%",29,29,"72,50%"
0.4000,0.010000,1600,5,95,95,"59,38%",22,22,"55,00%"
0.4000,0.100000,1600,2,48,48,"30,00%",12,12,"30,00%"
0.4000,0.000100,1700,97,135,135,"84,38%",34,34,"85,00%"
0.4000,0.001000,1700,18,120,120,"75,00%",26,26,"65,00%"
0.4000,0.010000,1700,5,89,89,"55,63%",23,23,"57,50%"
0.4000,0.100000,1700,3,66,66,"41,25%",18,18,"45,00%"
0.4000,0.000100,1800,85,137,137,"85,63%",28,28,"70,00%"
0.4000,0.001000,1800,19,114,114,"71,25%",28,28,"70,00%"
0.4000,0.010000,1800,5,87,87,"54,38%",23,23,"57,50%"
0.4000,0.100000,1800,2,48,48,"30,00%",13,13,"32,50%"
0.4000,0.000100,1900,97,138,138,"86,25%",36,36,"90,00%"
0.4000,0.001000,1900,18,119,119,"74,38%",31,31,"77,50%"
0.4000,0.010000,1900,5,90,90,"56,25%",23,23,"57,50%"
0.4000,0.100000,1900,2,53,53,"33,13%",11,11,"27,50%"
0.4000,0.000100,2000,86,140,140,"87,50%",29,29,"72,50%"
0.4000,0.001000,2000,20,117,117,"73,13%",34,34,"85,00%"
0.4000,0.010000,2000,5,86,86,"53,75%",25,25,"62,50%"
0.4000,0.100000,2000,2,57,57,"35,63%",9,9,"22,50%"
0.4000,0.000100,2100,95,138,138,"86,25%",33,33,"82,50%"
0.4000,0.001000,2100,17,118,118,"73,75%",30,30,"75,00%"
0.4000,0.010000,2100,5,88,88,"55,00%",22,22,"55,00%"
0.4000,0.100000,2100,3,75,75,"46,88%",15,15,"37,50%"
0.4000,0.000100,2200,94,132,132,"82,50%",37,37,"92,50%"
0.4000,0.001000,2200,17,115,115,"71,88%",27,27,"67,50%"
0.4000,0.010000,2200,5,82,82,"51,25%",24,24,"60,00%"
0.4000,0.100000,2200,2,55,55,"34,38%",11,11,"27,50%"
0.4000,0.000100,2300,92,139,139,"86,88%",33,33,"82,50%"
0.4000,0.001000,2300,18,117,117,"73,13%",29,29,"72,50%"
0.4000,0.010000,2300,5,87,87,"54,38%",25,25,"62,50%"
0.4000,0.100000,2300,2,52,52,"32,50%",14,14,"35,00%"
0.4000,0.000100,2400,94,136,136,"85,00%",34,34,"85,00%"
0.4000,0.001000,2400,19,111,111,"69,38%",35,35,"87,50%"
0.4000,0.010000,2400,5,95,95,"59,38%",21,21,"52,50%"
0.4000,0.100000,2400,2,60,60,"37,50%",13,13,"32,50%"
0.4000,0.000100,2500,97,135,135,"84,38%",35,35,"87,50%"
0.4000,0.001000,2500,18,122,122,"76,25%",27,27,"67,50%"
0.4000,0.010000,2500,5,88,88,"55,00%",24,24,"60,00%"
0.4000,0.100000,2500,2,56,56,"35,00%",15,15,"37,50%"
0.4000,0.000100,2600,91,138,138,"86,25%",33,33,"82,50%"
0.4000,0.001000,2600,18,123,123,"76,88%",27,27,"67,50%"
0.4000,0.010000,2600,5,87,87,"54,38%",19,19,"47,50%"
0.4000,0.100000,2600,2,56,56,"35,00%",15,15,"37,50%"
0.4000,0.000100,2700,97,135,135,"84,38%",34,34,"85,00%"
0.4000,0.001000,2700,17,125,125,"78,13%",24,24,"60,00%"
0.4000,0.010000,2700,5,90,90,"56,25%",22,22,"55,00%"
0.4000,0.100000,2700,2,54,54,"33,75%",9,9,"22,50%"
0.4000,0.000100,2800,92,136,136,"85,00%",35,35,"87,50%"
0.4000,0.001000,2800,17,114,114,"71,25%",31,31,"77,50%"
0.4000,0.010000,2800,5,89,89,"55,63%",19,19,"47,50%"
0.4000,0.100000,2800,2,55,55,"34,38%",10,10,"25,00%"
0.4000,0.000100,2900,93,137,137,"85,63%",33,33,"82,50%"
0.4000,0.001000,2900,17,118,118,"73,75%",27,27,"67,50%"
0.4000,0.010000,2900,5,89,89,"55,63%",20,20,"50,00%"
0.4000,0.100000,2900,2,45,45,"28,13%",12,12,"30,00%"
0.4000,0.000100,3000,80,138,138,"86,25%",30,30,"75,00%"
0.4000,0.001000,3000,18,117,117,"73,13%",31,31,"77,50%"
0.4000,0.010000,3000,5,101,101,"63,13%",18,18,"45,00%"
0.4000,0.100000,3000,3,66,66,"41,25%",12,12,"30,00%"
0.4000,0.000100,3100,87,140,140,"87,50%",30,30,"75,00%"
0.4000,0.001000,3100,18,121,121,"75,63%",28,28,"70,00%"
0.4000,0.010000,3100,5,93,93,"58,13%",21,21,"52,50%"
0.4000,0.100000,3100,3,61,61,"38,13%",20,20,"50,00%"
0.4000,0.000100,3200,88,140,140,"87,50%",32,32,"80,00%"
0.4000,0.001000,3200,18,118,118,"73,75%",26,26,"65,00%"
0.4000,0.010000,3200,5,83,83,"51,88%",23,23,"57,50%"
0.4000,0.100000,3200,3,72,72,"45,00%",17,17,"42,50%"
0.4000,0.000100,3300,94,139,139,"86,88%",35,35,"87,50%"
0.4000,0.001000,3300,18,119,119,"74,38%",28,28,"70,00%"
0.4000,0.010000,3300,5,87,87,"54,38%",24,24,"60,00%"
0.4000,0.100000,3300,2,57,57,"35,63%",15,15,"37,50%"
0.4000,0.000100,3400,95,135,135,"84,38%",36,36,"90,00%"
0.4000,0.001000,3400,18,123,123,"76,88%",23,23,"57,50%"
0.4000,0.010000,3400,5,85,85,"53,13%",21,21,"52,50%"
0.4000,0.100000,3400,3,67,67,"41,88%",13,13,"32,50%"
0.4000,0.000100,3500,95,135,135,"84,38%",35,35,"87,50%"
0.4000,0.001000,3500,18,118,118,"73,75%",29,29,"72,50%"
0.4000,0.010000,3500,5,89,89,"55,63%",21,21,"52,50%"
0.4000,0.100000,3500,2,53,53,"33,13%",10,10,"25,00%"
0.4000,0.000100,3600,94,136,136,"85,00%",36,36,"90,00%"
0.4000,0.001000,3600,16,116,116,"72,50%",26,26,"65,00%"
0.4000,0.010000,3600,5,92,92,"57,50%",18,18,"45,00%"
0.4000,0.100000,3600,3,64,64,"40,00%",20,20,"50,00%"
0.4000,0.000100,3700,88,138,138,"86,25%",33,33,"82,50%"
0.4000,0.001000,3700,18,119,119,"74,38%",27,27,"67,50%"
0.4000,0.010000,3700,5,86,86,"53,75%",26,26,"65,00%"
0.4000,0.100000,3700,2,56,56,"35,00%",13,13,"32,50%"
0.4000,0.000100,3800,99,133,133,"83,13%",37,37,"92,50%"
0.4000,0.001000,3800,18,117,117,"73,13%",29,29,"72,50%"
0.4000,0.010000,3800,5,89,89,"55,63%",23,23,"57,50%"
0.4000,0.100000,3800,2,47,47,"29,38%",14,14,"35,00%"
0.4000,0.000100,3900,98,138,138,"86,25%",35,35,"87,50%"
0.4000,0.001000,3900,18,114,114,"71,25%",33,33,"82,50%"
0.4000,0.010000,3900,5,86,86,"53,75%",26,26,"65,00%"
0.4000,0.100000,3900,2,49,49,"30,63%",16,16,"40,00%"
0.4000,0.000100,4000,87,140,140,"87,50%",30,30,"75,00%"
0.4000,0.001000,4000,17,119,119,"74,38%",28,28,"70,00%"
0.4000,0.010000,4000,5,86,86,"53,75%",22,22,"55,00%"
0.4000,0.100000,4000,2,61,61,"38,13%",11,11,"27,50%"
