Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Iguales Exactas Test,Parecidas Test
0.0010,0.000100,1000,587,28,28,6,6
0.0010,0.001000,1000,48,0,0,0,0
0.0010,0.010000,1000,2,52,52,16,16
0.0010,0.100000,1000,2,65,65,20,20
0.0010,0.000100,1500,587,29,29,7,7
0.0010,0.001000,1500,59,0,0,0,0
0.0010,0.010000,1500,2,71,71,20,20
0.0010,0.100000,1500,2,55,55,15,15
0.0010,0.000100,2000,568,34,34,4,4
0.0010,0.001000,2000,2,72,72,19,19
0.0010,0.010000,2000,2,55,55,8,8
0.0010,0.100000,2000,2,43,43,15,15
0.0010,0.000100,3000,587,26,26,5,5
0.0010,0.001000,3000,75,0,0,0,0
0.0010,0.010000,3000,2,61,61,18,18
0.0010,0.100000,3000,2,24,24,2,2
0.0050,0.000100,1000,327,79,79,19,19
0.0050,0.001000,1000,57,9,9,1,1
0.0050,0.010000,1000,2,65,65,23,23
0.0050,0.100000,1000,2,18,18,7,7
0.0050,0.000100,1500,317,81,81,16,16
0.0050,0.001000,1500,72,3,3,3,3
0.0050,0.010000,1500,10,0,0,0,0
0.0050,0.100000,1500,2,52,52,18,18
0.0050,0.000100,2000,320,84,84,16,16
0.0050,0.001000,2000,58,9,9,1,1
0.0050,0.010000,2000,2,70,70,19,19
0.0050,0.100000,2000,2,70,70,18,18
0.0050,0.000100,3000,320,79,79,21,21
0.0050,0.001000,3000,56,6,6,1,1
0.0050,0.010000,3000,13,0,0,0,0
0.0050,0.100000,3000,2,7,7,2,2
0.0030,0.000100,1000,388,61,61,17,17
0.0030,0.001000,1000,51,0,0,0,0
0.0030,0.010000,1000,14,0,0,0,0
0.0030,0.100000,1000,2,58,58,17,17
0.0030,0.000100,1500,381,67,67,15,15
0.0030,0.001000,1500,76,0,0,0,0
0.0030,0.010000,1500,9,0,0,0,0
0.0030,0.100000,1500,2,63,63,18,18
0.0030,0.000100,2000,371,64,64,17,17
0.0030,0.001000,2000,54,0,0,0,0
0.0030,0.010000,2000,2,38,38,9,9
0.0030,0.100000,2000,2,49,49,11,11
0.0030,0.000100,3000,375,64,64,21,21
0.0030,0.001000,3000,65,0,0,0,0
0.0030,0.010000,3000,2,45,45,11,11
0.0030,0.100000,3000,2,66,66,17,17
0.0500,0.000100,1000,137,121,121,20,20
0.0500,0.001000,1000,33,88,88,19,19
0.0500,0.010000,1000,7,26,26,3,3
0.0500,0.100000,1000,2,0,0,0,0
0.0500,0.000100,1500,148,118,118,28,28
0.0500,0.001000,1500,32,82,82,12,12
0.0500,0.010000,1500,7,11,11,6,6
0.0500,0.100000,1500,2,0,0,0,0
0.0500,0.000100,2000,144,121,121,26,26
0.0500,0.001000,2000,34,80,80,25,25
0.0500,0.010000,2000,7,15,15,3,3
0.0500,0.100000,2000,3,0,0,0,0
0.0500,0.000100,3000,154,112,112,35,35
0.0500,0.001000,3000,32,86,86,19,19
0.0500,0.010000,3000,9,15,15,5,5
0.0500,0.100000,3000,2,0,0,0,0
0.1000,0.000100,1000,135,124,124,34,34
0.1000,0.001000,1000,28,96,96,25,25
0.1000,0.010000,1000,7,45,45,9,9
0.1000,0.100000,1000,3,1,1,1,1
0.1000,0.000100,1500,126,124,124,33,33
0.1000,0.001000,1500,27,97,97,22,22
0.1000,0.010000,1500,7,46,46,10,10
0.1000,0.100000,1500,2,14,14,2,2
0.1000,0.000100,2000,123,128,128,29,29
0.1000,0.001000,2000,28,93,93,27,27
0.1000,0.010000,2000,8,45,45,10,10
0.1000,0.100000,2000,3,0,0,0,0
0.1000,0.000100,3000,119,127,127,29,29
0.1000,0.001000,3000,26,99,99,21,21
0.1000,0.010000,3000,8,36,36,12,12
0.1000,0.100000,3000,2,0,0,0,0
0.2000,0.000100,1000,106,133,133,32,32
0.2000,0.001000,1000,23,104,104,28,28
0.2000,0.010000,1000,6,74,74,12,12
0.2000,0.100000,1000,2,24,24,0,0
0.2000,0.000100,1500,113,131,131,36,36
0.2000,0.001000,1500,23,104,104,30,30
0.2000,0.010000,1500,6,77,77,12,12
0.2000,0.100000,1500,2,18,18,1,1
0.2000,0.000100,2000,107,130,130,31,31
0.2000,0.001000,2000,22,102,102,29,29
0.2000,0.010000,2000,6,74,74,17,17
0.2000,0.100000,2000,2,6,6,1,1
0.2000,0.000100,3000,101,132,132,32,32
0.2000,0.001000,3000,22,105,105,28,28
0.2000,0.010000,3000,6,64,64,18,18
0.2000,0.100000,3000,2,22,22,4,4
0.3000,0.000100,1000,97,137,137,31,31
0.3000,0.001000,1000,20,110,110,31,31
0.3000,0.010000,1000,6,87,87,17,17
0.3000,0.100000,1000,2,58,58,12,12
0.3000,0.000100,1500,100,134,134,35,35
0.3000,0.001000,1500,19,114,114,27,27
0.3000,0.010000,1500,6,88,88,20,20
0.3000,0.100000,1500,2,36,36,10,10
0.3000,0.000100,2000,98,134,134,33,33
0.3000,0.001000,2000,19,119,119,25,25
0.3000,0.010000,2000,5,79,79,18,18
0.3000,0.100000,2000,2,33,33,7,7
0.3000,0.000100,3000,91,137,137,29,29
0.3000,0.001000,3000,18,117,117,25,25
0.3000,0.010000,3000,6,88,88,19,19
0.3000,0.100000,3000,2,33,33,11,11
0.4000,0.000100,1000,89,139,139,32,32
0.4000,0.001000,1000,17,121,121,24,24
0.4000,0.010000,1000,5,96,96,22,22
0.4000,0.100000,1000,2,51,51,14,14
0.4000,0.000100,1500,88,137,137,32,32
0.4000,0.001000,1500,18,119,119,24,24
0.4000,0.010000,1500,5,81,81,25,25
0.4000,0.100000,1500,2,42,42,14,14
0.4000,0.000100,2000,103,135,135,37,37
0.4000,0.001000,2000,17,119,119,27,27
0.4000,0.010000,2000,5,91,91,19,19
0.4000,0.100000,2000,2,49,49,7,7
0.4000,0.000100,3000,94,136,136,36,36
0.4000,0.001000,3000,17,118,118,25,25
0.4000,0.010000,3000,5,95,95,17,17
0.4000,0.100000,3000,3,68,68,18,18
